day,slot_time,slot_name,slot_presentation_count,slot_cross_platform_count,presentation_id,presentation_number,posterboard_number,title,session_title,start,affiliation,products,source_keywords,presentation_url
Apr 19,2:00 PM,Afternoon,72,4,2559,687,3,In situ KRAS-mapping and spatial -omics characterization in lung premalignancy,Methods to Measure Tumor Evolution and Heterogeneity,4/19/2026 2:00:00 PM,"Immunology, genetics and pathology, Uppsala University, Uppsala, Sweden | Department of Oncology and Radiotherapy, Medical University of Gdańsk, Gdańsk, Poland",CosMx,CosMx; Bruker,https://www.abstractsonline.com/pp8/#!/21436/presentation/2559
Apr 19,2:00 PM,Afternoon,72,4,10858,789,1,"PaintScapeTM enables in situ, single cell spatial multiomic visualization of 3D genome organization in fresh frozen colorectal carcinoma tissue in spatially resolved tissue microenvironments",Spatial Protein Profiling and Multi-Modal Mapping of Tumor and Circulating Ecosystems,4/19/2026 2:00:00 PM,"Research and Development, Bruker Spatial Genomics, San Jose, CA",PaintScape,PaintScape; Bruker,https://www.abstractsonline.com/pp8/#!/21436/presentation/10858
Apr 19,2:00 PM,Afternoon,72,4,10893,808,20,Single cell spatial multiomics of TCR and BCR repertoires using CosMx® SMI to characterize immune cell dynamics in PBMCs and tumors,Spatial Protein Profiling and Multi-Modal Mapping of Tumor and Circulating Ecosystems,4/19/2026 2:00:00 PM,"Research and Development, Bruker Spatial Biology, Seattle, WA",CosMx,CosMx; Bruker,https://www.abstractsonline.com/pp8/#!/21436/presentation/10893
Apr 19,2:00 PM,Afternoon,72,4,10894,809,21,Spatially resolved multiomics profiling of glioblastoma reveals molecular signatures of neuropathology and immuno-oncology architecture using CosMx SMI,Spatial Protein Profiling and Multi-Modal Mapping of Tumor and Circulating Ecosystems,4/19/2026 2:00:00 PM,"Bruker Spatial Biology, Seattle, WA",CosMx,CosMx; Bruker,https://www.abstractsonline.com/pp8/#!/21436/presentation/10894
Apr 19,2:00 PM,Afternoon,72,4,3702,898,11,HER2 as a therapeutic target in prostate cancer: Multi-omic and spatial insights across genetic ancestries,Survivorship Research Addressing Cancer Disparities,4/19/2026 2:00:00 PM,"Morehouse School of Medicine, Atlanta, GA | Texas Tech University, Lubbock, TX | UT MD Anderson Cancer Center, Houston, TX | City of Hope National Medical Center, Duarte, CA | Sidney Kimmel Comprehensive Cancer Center, Baltimore, MD | The University of Alabama at Birmingham, Birmingham, AL | Wake Forest University School of Medicine, Winston-Salem, NC",Xenium,Xenium; 10X,https://www.abstractsonline.com/pp8/#!/21436/presentation/3702
Apr 19,2:00 PM,Afternoon,72,4,9763,1053,21,Single-cell immune profiling reveals biomarkers of pembrolizumab response in early triple-negative breast cancer,Biomarkers Predictive of Therapeutic Benefit 2,4/19/2026 2:00:00 PM,"Institute of Biomedical Research of Malaga (IBIMA), Malaga, Spain | Hospital Universitario Virgen de la Victoria, Malaga, Spain | Department of Normal and Pathological Cytology and Histology, Institute of Biomedicine of Sevilla (IBiS), Sevilla, Spain",Chromium,Chromium; 10X,https://www.abstractsonline.com/pp8/#!/21436/presentation/9763
Apr 19,2:00 PM,Afternoon,72,4,10153,1098,8,Discrete precancer subtypes and biomarkers of cancer progression identified with spatiotemporal analysis of CDH1-driven diffuse gastric cancer,Early Detection Biomarkers 1,4/19/2026 2:00:00 PM,"University of Maryland School of Medicine, Baltimore, MD | Department of Surgery, Georgetown University, Washington, DC | UT MD Anderson Cancer Center, Houston, TX | Laboratory of Pathology, National Cancer Institute, Baltimore, MD | Frederick National Laboratory for Cancer Research, Frederick, MD",Xenium,Xenium; 10X,https://www.abstractsonline.com/pp8/#!/21436/presentation/10153
Apr 19,2:00 PM,Afternoon,72,4,10161,1106,16,Rapid identification of comprehensive multi-omic protein and RNA biomarkers on a single FFPE tissue section using a novel integrated nCounter® workflow,Early Detection Biomarkers 1,4/19/2026 2:00:00 PM,"NeoGenomics, Fort Myers, FL | Bruker Spatial Biology, Bothell, WA",nCounter,nCounter; Bruker,https://www.abstractsonline.com/pp8/#!/21436/presentation/10161
Apr 19,2:00 PM,Afternoon,72,4,10004,1203,4,Spatial archetypes of conserved and cancer-specific immune-stromal niches,Spatial Proteomics and Transcriptomics 1,4/19/2026 2:00:00 PM,"Genomic Medicine, UT MD Anderson Cancer Center, Houston, TX | Medicine, New York University Grossman School of Medicine, New York, NY | UT MD Anderson Cancer Center, Houston, TX | Department of Pathology, New York University Grossman School of Medicine, New York, NY",Xenium,Xenium; Xenium + 5K,https://www.abstractsonline.com/pp8/#!/21436/presentation/10004
Apr 19,2:00 PM,Afternoon,72,4,10010,1208,9,The MONSTAR-SCREEN-3 Spatial Atlas: Pan-cancer TME archetypes and clinically relevant tumor-immune ecosystems,Spatial Proteomics and Transcriptomics 1,4/19/2026 2:00:00 PM,"National Cancer Center Hospital East, Kahsiwashi, Japan | GxD Inc, Seoul, Korea, Republic of | GxD Inc, Kashiwashi, Japan | National Cancer Center Hospital East, Kashiwashi, Japan | National Cancer Center Hospital East, Kashiwanoha, Japan | Pathology, NCCHE, Kashiwa, Japan | National Cancer Center Hospital East, Kashiwa, Japan",Xenium,Xenium; Xenium + 5K,https://www.abstractsonline.com/pp8/#!/21436/presentation/10010
Apr 19,2:00 PM,Afternoon,72,4,10011,1209,10,FGFR2 translocated sinonasal adenocarcinoma: A biphasic seromucinous adenocarcinoma with a distinctive and targetable molecular phenotype,Spatial Proteomics and Transcriptomics 1,4/19/2026 2:00:00 PM,"University of Pittsburgh, Pittsburgh, PA | University of Texas MD Anderson Cancer Center, Houston, TX | City of Hope, Duarte, CA",Visium,Visium; 10X,https://www.abstractsonline.com/pp8/#!/21436/presentation/10011
Apr 19,2:00 PM,Afternoon,72,4,10013,1211,12,Spatial transcriptomics uncovers pharmacokinetic barriers and tumor-intrinsic determinants of resistance to trastuzumab deruxtecan in breast cancer,Spatial Proteomics and Transcriptomics 1,4/19/2026 2:00:00 PM,"Seoul National University Hospital, Seoul, Korea, Republic of | Pathology, Asan Medical Center, Seoul, Korea, Republic of | Pathology, Seoul National University Hospital, Seoul, Korea, Republic of | Portrai Inc., Seoul, Korea, Republic of",Visium,Visium; 10X,https://www.abstractsonline.com/pp8/#!/21436/presentation/10013
Apr 19,2:00 PM,Afternoon,72,4,10014,1212,13,Spatial transcriptomics reveals distinct SPP1-CD44 signaling networks in neoadjuvant osimertinib treated EGFR mutant non-small cell lung cancer,Spatial Proteomics and Transcriptomics 1,4/19/2026 2:00:00 PM,"UCSF, San Francisco, CA | University of Washington, Seattle, WA | Anatomic Pathology, UCSF, San Francisco, CA | Kanazawa Univ. Hospital, Kanazawa, Japan | Clinical Fellow, Medical Oncology, UCSF, San Francisco, CA",Visium,Visium; 10X,https://www.abstractsonline.com/pp8/#!/21436/presentation/10014
Apr 19,2:00 PM,Afternoon,72,4,10017,1215,16,Spatial transcriptomic analysis of primary melanomas with extreme clinical outcomes,Spatial Proteomics and Transcriptomics 1,4/19/2026 2:00:00 PM,"The Sir Peter MacCallum Department of Oncology, University of Melbourne, Melbourne, Australia | Walter & Eliza Hall Institute of Medical Research, Melbourne, Australia | Peter MacCallum Cancer Centre, Melbourne, Australia",Visium,Visium; 10X,https://www.abstractsonline.com/pp8/#!/21436/presentation/10017
Apr 19,2:00 PM,Afternoon,72,4,2490,21,6,AI analysis agent to accelerate end-to-end spatial biology analysis for MERSCOPE,Agentic AI in Cancer,4/19/2026 2:00:00 PM,"LatchBio, San Francisco, CA | Vizgen, Cambridge, MA",MerFISH,MerFISH,https://www.abstractsonline.com/pp8/#!/21436/presentation/2490
Apr 19,2:00 PM,Afternoon,72,4,3074,70,1,"SPOT-Met: Spatially decoding organotropism and immunotherapy response in colorectal cancer from 1,000 multi-omic tumors",Digital Pathology 1,4/19/2026 2:00:00 PM,"Weill Cornell Medicine, New York, NY | Singular Genomics, San Diego, CA | Yonsei University, Seoul, Korea, Republic of",G4X,G4X,https://www.abstractsonline.com/pp8/#!/21436/presentation/3074
Apr 19,2:00 PM,Afternoon,72,4,3081,77,8,AI-driven 3D spatial transcriptomics for 3D tumor microenvironment mapping in prostate adenocarcinoma,Digital Pathology 1,4/19/2026 2:00:00 PM,"Brigham and Women's Hospital, Boston, MA | Pusan National University, Busan, Korea, Republic of | Emory University, Atlanta, GA | Harvard Medical School, Boston, MA | Stanford University, Palo Alto, CA | Johns Hopkins Medicine, Baltimore, MD | University of British Columbia, Vancouver, BC, Canada",Visium,Visium,https://www.abstractsonline.com/pp8/#!/21436/presentation/3081
Apr 19,2:00 PM,Afternoon,72,4,3093,89,20,TissueTrek: An interactive multimodal web-based platform for exploring spatial morphology-molecular relationships in cancer,Digital Pathology 1,4/19/2026 2:00:00 PM,"Pathology and Laboratory Medicine, Dartmouth Health, Lebanon, NH | Dartmouth College, Hanover, NH",GeoMx,GeoMx,https://www.abstractsonline.com/pp8/#!/21436/presentation/3093
Apr 19,2:00 PM,Afternoon,72,4,3684,135,9,Memory-like NK cell targeting to CD123 and CD33 improves killing of acute myeloid leukemia,Alternative Cell Type and in Situ Cell Therapies,4/19/2026 2:00:00 PM,"Washington University School of Medicine in St. Louis, St. Louis, MO | Masonic Cancer Center, Minneapolis, MN | University of Minnesota, Minneapolis, MN",Incucyte,Incucyte,https://www.abstractsonline.com/pp8/#!/21436/presentation/3684
Apr 19,2:00 PM,Afternoon,72,4,1260,192,12,Chronological evolution of immune tumor microenvironment (TME) from esophageal dysplasia (ED) to esophageal squamous cell carcinoma (ESCC),Inflammation and Cancer Progression,4/19/2026 2:00:00 PM,"National Taiwan University Cancer Center (NTUCC), Taipei City, Taiwan | National Chung Hsing University, Taichung, Taiwan | National Taiwan University Hospital, Taipei, Taiwan | Department of Internal Medicine,E-Da Hospital/I-Shou University, Kaohsiung, Taiwan, Institute of Clinical Medicine,National Cheng Kung University Hospital, College of Medicine, Nationa, Kaohsiung City, Taiwan",nCounter,nCounter,https://www.abstractsonline.com/pp8/#!/21436/presentation/1260
Apr 19,2:00 PM,Afternoon,72,4,10426,269,12,Functionalization of virus-like particles for improved in vivo immune cell engineering,Gene and Vector-Based Therapy,4/19/2026 2:00:00 PM,"UC San Diego School of Medicine, La Jolla, CA | UC San Francisco, San Francisco, CA",Incucyte,Incucyte,https://www.abstractsonline.com/pp8/#!/21436/presentation/10426
Apr 19,2:00 PM,Afternoon,72,4,5549,311,29,Integrated strategies for producing functional recombinant proteins to advance autoimmune disease therapeutics,Innovative Therapeutic Modalities and Translational Platforms,4/19/2026 2:00:00 PM,"ACROBiosystems Co., Ltd., Beijing, China | ACROBiosystems Inc., Newark, DE",Antibody Discovery,Antibody Discovery,https://www.abstractsonline.com/pp8/#!/21436/presentation/5549
Apr 19,2:00 PM,Afternoon,72,4,4356,360,19,TM4SF1 as a promising ADC target for KRAS-mutated cancers,Mechanism-Guided Development of Targeted Cancer Therapies,4/19/2026 2:00:00 PM,"Yonsei New Il Han Institute for Integrative Cancer Research, Seoul, Korea, Republic of | Yonsei University College of Medicine SBSI, Seoul, Korea, Republic of | Yonsei University College of Medicine, Seoul, Korea, Republic of",Incucyte,Incucyte,https://www.abstractsonline.com/pp8/#!/21436/presentation/4356
Apr 19,2:00 PM,Afternoon,72,4,5667,449,19,Albumin-based DLL3-targeted nano-immunoconjugates of SN38 preserve potency and demonstrate high-affinity DLL3 binding in small cell lung cancer,Novel Therapeutics and Drug Targets 1,4/19/2026 2:00:00 PM,"Mayo Clinic Cancer Center Minnesota, Rochester, MN | Research Associate, Dept. of Lab. Med. and Pathology, Mayo Clinic College of Medicine, Rochester, MN | Mayo Clinic, Rochester, MN | Mayo Clinic College of Medicine and Science, Rochester, MN | Mayo Clinic Business Development, Mayo Clinic Cancer Center Minnesota, Rochester, MN",Incucyte,Incucyte,https://www.abstractsonline.com/pp8/#!/21436/presentation/5667
Apr 19,2:00 PM,Afternoon,72,4,1875,574,12,Exploring the therapeutic vulnerability of castration-resistant prostate cancer via Hippo-YAP/TAZ-TEAD signaling,"Tumor Cell Plasticity, Microenvironment, and Stress-Response Pathways",4/19/2026 2:00:00 PM,"LSU-LCMC Cancer Center, LSUHSC, School of Medicine, New Orleans, LA",Incucyte,Incucyte,https://www.abstractsonline.com/pp8/#!/21436/presentation/1875
Apr 19,2:00 PM,Afternoon,72,4,5939,636,15,Dissecting the complex ecosystem of intracranial germ cell tumors by spatial RNA and protein analysis,"Developmental Origins, Drivers, and Heterogeneity in Pediatric Cancer",4/19/2026 2:00:00 PM,"Institute of Neuropathology, University of Bonn Medical Center, Bonn, Germany | Department of Pathology, University of Bonn Medical Center, Bonn, Germany",Visium,Visium,https://www.abstractsonline.com/pp8/#!/21436/presentation/5939
Apr 19,2:00 PM,Afternoon,72,4,5942,639,18,Distinct microenvironments define subtypes of neuroblastoma,"Developmental Origins, Drivers, and Heterogeneity in Pediatric Cancer",4/19/2026 2:00:00 PM,"University of Cambridge, Cambridge, United Kingdom | National Cancer Institute, Bethesda, MD | Tumour Bank, Children's Cancer Research Unit, The Children's Hospital at Westmead, Westmead, NSW, Australia | Neopathology Corp, Frederick, MD | Pediatrics, Stanford University, Stanford, CA",Visium,Visium,https://www.abstractsonline.com/pp8/#!/21436/presentation/5942
Apr 19,2:00 PM,Afternoon,72,4,6245,711,1,Single-cell and spatial profiling identifies tumor features and actionable surface targets in primary breast angiosarcoma,Molecular Pathology,4/19/2026 2:00:00 PM,"Japanese Foundation for Cancer Research, Tokyo, Japan",Visium,Visium,https://www.abstractsonline.com/pp8/#!/21436/presentation/6245
Apr 19,2:00 PM,Afternoon,72,4,10737,773,18,Single-cell and spatial transcriptomic profiling reveal fibrosis-related tumor states in lung squamous cell carcinoma associated with idiopathic pulmonary fibrosis,"Physicochemical Modulation of Cancer Ecosystems: Mechanical Forces, Hypoxia, and Acidosis",4/19/2026 2:00:00 PM,"Thoracic, Breast and Endocrinological Surgery, Okayama Univ. Graduate School of Med., Dentistry & Pharm. Sci., Okayama, Japan | Center for Comprehensive Genomic Medicine, Okayama University Hospital, Okayama, Japan",GeoMx,GeoMx,https://www.abstractsonline.com/pp8/#!/21436/presentation/10737
Apr 19,2:00 PM,Afternoon,72,4,10869,795,7,Integrating spatial transcriptomics and Imaging Mass Cytometry™ for multi-omic mapping of hepatocellular carcinoma,Spatial Protein Profiling and Multi-Modal Mapping of Tumor and Circulating Ecosystems,4/19/2026 2:00:00 PM,"Garvan Institute, Sydney, Australia | Standard BioTools, Markham, ON, Canada | University of Sydney, Sydney, Australia | Storr Liver Centre, Sydney, Australia | The University of Sydney, Sydney, Australia",Xenium,Xenium,https://www.abstractsonline.com/pp8/#!/21436/presentation/10869
Apr 19,2:00 PM,Afternoon,72,4,10871,796,8,Digital spatial profiling reveals immune heterogeneity across tumor and stromal compartments in hepatocellular carcinoma,Spatial Protein Profiling and Multi-Modal Mapping of Tumor and Circulating Ecosystems,4/19/2026 2:00:00 PM,"Johnson & Johnson, Shanghai, China | Johnson & Johnson, Spring House, PA | National Cheng Kung University Hospital, Taiwan, China",GeoMx,GeoMx,https://www.abstractsonline.com/pp8/#!/21436/presentation/10871
Apr 19,2:00 PM,Afternoon,72,4,10883,802,14,Multi-omic profiling maps the immune multicellular environment of renal cell carcinoma,Spatial Protein Profiling and Multi-Modal Mapping of Tumor and Circulating Ecosystems,4/19/2026 2:00:00 PM,"Aspect Analytics NV, Genk, Belgium | Standard BioTools, Markham, ON, Canada",Xenium,Xenium,https://www.abstractsonline.com/pp8/#!/21436/presentation/10883
Apr 19,2:00 PM,Afternoon,72,4,10885,803,15,A spatial profiling approach to evaluating the prognostic impact of heterogeneity in the triple-negative breast cancer immune microenvironment,Spatial Protein Profiling and Multi-Modal Mapping of Tumor and Circulating Ecosystems,4/19/2026 2:00:00 PM,"Medical Biophysics, University of Toronto, Toronto, ON, Canada | Laboratory Medicine and Pathobiology, University of Toronto, Toronto, ON, Canada | Princess Margaret Cancer Center, Toronto, ON, Canada | Ontario Institute for Cancer Research, Toronto, ON, Canada | Department of Biostatistics, Princess Margaret Cancer Center, Toronto, ON, Canada | UHN-Toronto General Hospital, Toronto, ON, Canada",GeoMx,GeoMx,https://www.abstractsonline.com/pp8/#!/21436/presentation/10885
Apr 19,2:00 PM,Afternoon,72,4,10890,806,18,"Tumor microenvironment of ampulla of Vater cancer reveals distinct spatial niche of CAF, TIL, and TAM and their correlation with clinicopathologic features",Spatial Protein Profiling and Multi-Modal Mapping of Tumor and Circulating Ecosystems,4/19/2026 2:00:00 PM,"Department of Hospital Pathology, St. Vincent’s Hospital, College of Medicine, The Catholic University of Korea, Seoul, Korea, Republic of | Division of Medical Oncology, Department of Internal Medicine, Seoul St. Mary’s Hospital, Seoul, Korea, Republic of | Department of Hospital Pathology, Seoul St. Mary’s Hospital, Seoul, Korea, Republic of",CellScape,CellScape,https://www.abstractsonline.com/pp8/#!/21436/presentation/10890
Apr 19,2:00 PM,Afternoon,72,4,716,828,7,Investigation of developmental LIN28/let-7/SOX2/SOX9 feedback loop during cell migration and metastasis,Stem Cell Plasticity and Lineage Reprogramming in Cancer,4/19/2026 2:00:00 PM,"Pharmacology, University of Texas Southwestern Medical Center, Dallas, TX",Incucyte,Incucyte,https://www.abstractsonline.com/pp8/#!/21436/presentation/716
Apr 19,2:00 PM,Afternoon,72,4,727,839,18,Single cell cloning iPSCs with the Pala single cell sorter preserves colony stemness and cell viability for high-throughput cell line engineering workflows,Stem Cell Plasticity and Lineage Reprogramming in Cancer,4/19/2026 2:00:00 PM,"Bio-Techne, San Jose, CA",Cell Line Development,Cell Line Development,https://www.abstractsonline.com/pp8/#!/21436/presentation/727
Apr 19,2:00 PM,Afternoon,72,4,2236,851,30,BMP inhibition is an effective treatment for targeting stem-like glioblastoma cell states,Stem Cell Plasticity and Lineage Reprogramming in Cancer,4/19/2026 2:00:00 PM,"Department of Neurology and Neurosurgery, Montreal Neurological Insitute-Hospital, McGill University, Montréal, QC, Canada",MerFISH,MerFISH,https://www.abstractsonline.com/pp8/#!/21436/presentation/2236
Apr 19,2:00 PM,Afternoon,72,4,6779,967,26,Prevention and interception of triple-negative breast cancer and its metastasis to the brain with brain-permeant L024,Experimental Chemoprevention and Interception: Data and Tools,4/19/2026 2:00:00 PM,"Northwestern University - Chicago, Chicago, IL | Northwestern University, Evansville, IL | Associate Professor, Surgery, Northwestern University Feinberg School of Medicine, Chicago, IL | Professor of Surgery & Bluhm Family Professor of Cancer Research, Robert H. Lurie Comp. Cancer Center of Northwestern University, Chicago, IL",Incucyte,Incucyte,https://www.abstractsonline.com/pp8/#!/21436/presentation/6779
